date,PSCI,PSCT,PSCM,PSCU,RSPG,RSPF,MITK,NXT,PATK,PECO,PUBM,STEP,ENSG,MODG,WINA,AGCO,BMI,SKY,CVLT,EHC,INMD,PSR,KBWR,PSCC,PSCH
2025-01-02,134.2,47.71,72.682,59.3532,77.6771,72.24,10.88,39.5,82.13,36.95,14.83,58.69,132.87,9.0,390.04,91.31,211.68,85.98,152.11,91.85,16.96,89.4701,59.03,38.0671,44.53
2025-01-03,136.28,48.69,73.2198,59.6949,78.55,72.6914,10.84,39.63,83.4,37.49,15.33,60.34,132.5,9.38,388.68,92.3,213.38,90.43,158.56,91.18,17.01,90.6261,59.99,38.16,45.21
2025-01-06,136.0362,49.21,73.52,59.0896,78.25,72.3673,10.82,40.71,83.93,36.69,15.33,60.66,130.06,9.05,385.85,91.15,213.44,88.84,160.68,91.21,17.12,89.1868,59.88,37.46,45.4
2025-01-07,134.8284,48.79,72.5455,58.6509,79.06,72.1511,10.73,43.92,82.82,36.45,14.84,58.98,130.84,8.92,385.96,91.63,211.87,85.72,153.05,91.57,17.4,88.563,59.36,37.3112,45.89
2025-01-08,135.3073,48.55,72.3403,58.42,79.49,72.4103,10.79,42.53,83.47,36.6,14.74,60.69,133.18,8.64,386.02,90.23,214.57,87.05,157.8,92.84,16.01,88.7783,59.4083,37.41,46.2
2025-01-10,133.62,47.46,70.66,57.17,79.84,70.55,10.31,41.1,83.34,35.56,14.095,57.9,130.95,8.44,374.31,90.85,207.64,86.01,153.98,91.05,15.9,86.5686,57.5447,36.37,45.05
2025-01-13,134.59,47.08,72.1837,57.2307,81.71,71.0423,10.15,40.85,83.45,35.65,13.9,57.29,132.34,8.31,382.65,97.09,206.71,87.19,156.11,92.56,15.97,87.6336,58.43,36.6903,44.71
2025-01-14,137.26,47.64,73.32,57.8326,82.73,72.0858,10.21,42.35,85.73,35.84,14.0,58.6,133.5,8.14,385.2,97.31,209.78,90.35,160.46,93.06,16.07,88.3995,60.4878,36.9186,44.63
2025-01-15,139.59,48.73,74.3326,58.8056,84.12,73.7103,10.15,42.73,90.02,35.46,14.4,60.24,134.58,8.13,386.9,97.36,213.81,92.82,161.42,93.61,16.54,88.2755,61.89,37.02,45.25
2025-01-16,139.71,48.74,74.51,59.5173,84.96,74.1121,9.97,45.27,92.21,35.93,14.41,61.08,136.33,8.09,388.59,100.0,213.96,92.2,161.71,94.41,16.57,90.14,61.3275,37.25,45.37
2025-01-17,140.49,49.47,74.98,59.9794,85.32,74.5999,10.08,44.19,92.72,35.79,14.52,61.57,136.79,8.06,392.4,101.69,215.17,90.61,161.28,94.74,16.79,90.2128,62.07,37.52,45.45
