date,action,ticker,shares,approx_price,notes,manual_review
2023-03-01,Buy,ENSG,150.0,90.37,,
2023-03-01,Buy,MITK,800.0,9.2,,
2023-03-01,Buy,PSCM,31.0,70.77,,
2023-03-01,Buy,PSR,93.0,88.68,,
2023-03-01,Buy,STEP,900.0,28.57,,
2023-03-01,Buy,INMD,1250.0,34.52,New investment,
2023-03-01,Buy,OXM,150.0,115.59,New investment,
2023-03-01,Buy,DCO,625.0,55.39,New investment,
2023-03-01,Buy,SKY,500.0,68.54,New investment,
2023-03-01,Buy,PUBM,1225.0,14.04,New investment,
2023-03-01,Buy,SSTK,225.0,74.51,New investment,
2023-03-01,Sell,KBWR,560.0,58.61,,
2023-03-01,Sell,PSCC,250.0,109.69,,
2023-03-01,Sell,PSCH,135.0,135.85,,
2023-03-01,Sell,PSCI,600.0,99.39,,
2023-03-01,Sell,PSCT,340.0,131.63,,
2023-03-01,Sell,PSCU,100.0,56.53,,
2023-06-02,Buy,LTHM,938.0,23.46,New investment,
2023-06-02,Buy,OLPX,4361.0,3.21,New investment,
2023-06-02,Buy,MODG,573.0,17.44,,
2023-06-02,Buy,PSCT,280.0,136.95,,
2023-06-02,Buy,RYE,679.0,64.23,New ETF,
2023-06-02,Buy,PSCI,499.0,93.65,,
2023-06-02,Buy,PSR,164.0,82.84,New ETF,
2023-06-02,Buy,PSCU,101.0,53.02,,
2023-06-02,Buy,RYF,744.0,48.84,New ETF,
2023-06-02,Buy,PSCH,14.0,129.97,,
2023-06-02,Sell,PSCC,225.0,106.38,,
2023-06-02,Sell,IWM,71.0,175.65,,
2023-06-02,Sell,SPAXX,195378.0,,cash sweep for orders,
2023-12-17,Buy,NAPA,2300.0,9.4,,
2023-12-17,Buy,AGCO,180.0,119.3,,
2023-12-17,Buy,NXT,450.0,47.9,,
2023-12-17,Buy,PECO,580.0,37.1,,
2023-12-17,Sell,SSTK,225.0,46.2,,
2023-12-17,Sell,DCO,625.0,50.9,,
2023-12-17,Sell,PNTG,400.0,13.5,,
2023-12-17,Sell,PSR,150.0,91.0,,
2023-12-17,Sell,PSCC,660.0,37.9,,
2024-10-20,Sell,NAPA,,10.98,sell entire position; acquired at $11.10; reallocate to PSCT,Shares not specified; sell entire position at ~10.98; acquired at 11.10; reallocate to PSCT.
2024-10-20,Buy,PSCT,,,reallocate proceeds from NAPA to align tech exposure,Shares not specified; buy using all proceeds from NAPA sale to align tech exposure.
2025-02-18,Sell,ENSG,,,sell half of holding; proceeds to EHC,Shares not specified; sell half of existing ENSG position; proceeds to EHC.
2025-02-18,Buy,EHC,,,allocate proceeds from ENSG,Shares not specified; allocate proceeds from ENSG sale to EHC.
