date,CASH,AGCO,BMI,SKY,CVLT,EHC,INMD,PSR,KBWR,PSCC,PSCH,PSCI,PSCT,PSCM,PSCU,RSPG,RSPF,MITK,NXT,PATK,PECO,PUBM,STEP,ENSG,MODG,WINA
2025-01-01,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-02,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-03,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-04,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-05,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-06,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-07,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-08,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-09,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-10,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-11,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-12,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-13,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-14,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-15,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-16,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-17,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-18,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-19,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-20,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-21,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-22,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-23,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-24,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-25,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-26,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-27,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-28,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
2025-01-29,66121.67,180.0,100.0,500.0,178.0,0.0,1250.0,616.0,1226.0,1242.0,1680.0,933.0,2865.0,511.0,266.5,650.0,744.0,2330.0,450.0,462.0,580.0,1225.0,1495.0,650.0,1278.0,38.0
