,PSCI,PSCT,PSCM,PSCU,RSPG,RSPF,MITK,NXT,PATK,PECO,PUBM,STEP,ENSG,MODG,WINA,AGCO,BMI,SKY,CVLT,EHC,INMD,PSR,KBWR,PSCC,PSCH
PSCI,1.000000,0.897506,0.859799,0.767154,0.652927,0.801070,0.535051,0.336455,0.697226,0.549547,0.417299,0.782410,0.381126,0.523203,0.398702,0.617611,0.516439,0.485188,0.557579,0.361470,0.537216,0.594875,0.798034,0.570899,0.756762
PSCT,0.897506,1.000000,0.812117,0.753353,0.638038,0.726130,0.563370,0.359002,0.581785,0.442364,0.449087,0.745631,0.313107,0.495059,0.381320,0.553236,0.552926,0.421750,0.570443,0.295107,0.562956,0.523962,0.732721,0.446333,0.752947
PSCM,0.859799,0.812117,1.000000,0.734735,0.636425,0.728158,0.512122,0.309226,0.620920,0.507598,0.408449,0.649287,0.369353,0.560184,0.346187,0.573850,0.457383,0.463166,0.470903,0.275972,0.566886,0.636033,0.724534,0.589754,0.706284
PSCU,0.767154,0.753353,0.734735,1.000000,0.581943,0.767124,0.529178,0.269027,0.585339,0.601010,0.355612,0.621612,0.378903,0.484942,0.313944,0.514501,0.468466,0.406295,0.463078,0.385289,0.501767,0.713793,0.699935,0.614852,0.742424
RSPG,0.652927,0.638038,0.636425,0.581943,1.000000,0.663294,0.367876,0.290557,0.445764,0.413132,0.285983,0.555306,0.289067,0.304957,0.345438,0.507664,0.390629,0.269528,0.409673,0.281007,0.372821,0.521717,0.638825,0.370156,0.550803
RSPF,0.801070,0.726130,0.728158,0.767124,0.663294,1.000000,0.523349,0.218575,0.608897,0.602541,0.362540,0.757144,0.390355,0.398230,0.292199,0.520123,0.465954,0.411749,0.516301,0.391866,0.451207,0.712966,0.839698,0.604597,0.684578
MITK,0.535051,0.563370,0.512122,0.529178,0.367876,0.523349,1.000000,0.243920,0.313139,0.298532,0.412130,0.482325,0.238100,0.273543,0.201404,0.303946,0.252211,0.295431,0.366395,0.214206,0.402774,0.382644,0.442083,0.337064,0.476314
NXT,0.336455,0.359002,0.309226,0.269027,0.290557,0.218575,0.243920,1.000000,0.159556,0.069668,0.180334,0.240255,0.127764,0.121766,0.149942,0.207618,0.155670,0.111872,0.108039,0.007006,0.328674,0.103310,0.250126,0.107185,0.240485
PATK,0.697226,0.581785,0.620920,0.585339,0.445764,0.608897,0.313139,0.159556,1.000000,0.471372,0.246533,0.542217,0.343983,0.462636,0.283181,0.534602,0.329688,0.569534,0.353193,0.225643,0.455299,0.532930,0.612301,0.534830,0.582820
PECO,0.549547,0.442364,0.507598,0.601010,0.413132,0.602541,0.298532,0.069668,0.471372,1.000000,0.149119,0.481058,0.388558,0.385382,0.244814,0.335063,0.315285,0.361412,0.423894,0.376006,0.306171,0.793428,0.548641,0.608227,0.502904
PUBM,0.417299,0.449087,0.408449,0.355612,0.285983,0.362540,0.412130,0.180334,0.246533,0.149119,1.000000,0.344200,0.164302,0.263795,0.181118,0.333938,0.302585,0.169476,0.257488,0.117320,0.262681,0.244488,0.337934,0.226441,0.324946
