,PSCI,PSCT,PSCM,PSCU,RSPG,RSPF,MITK,NXT,PATK,PECO,PUBM,STEP,ENSG,MODG,WINA,AGCO,BMI,SKY,CVLT,EHC,INMD,PSR,KBWR,PSCC,PSCH
PSCI,0.065700,0.076018,0.064095,0.035611,0.048312,0.043522,0.052998,0.052184,0.060960,0.027561,0.067640,0.094199,0.026440,0.084873,0.034186,0.066743,0.047777,0.059569,0.074191,0.025991,0.054035,0.026387,0.058882,0.028778,0.047168
PSCT,0.076018,0.109193,0.078047,0.045083,0.060863,0.050859,0.071941,0.071783,0.065577,0.028601,0.093844,0.115731,0.028003,0.103532,0.042151,0.077075,0.065945,0.066755,0.097853,0.027355,0.072999,0.029963,0.069697,0.029006,0.060502
PSCM,0.064095,0.078047,0.084584,0.038699,0.053432,0.044888,0.057558,0.054418,0.061598,0.028885,0.075121,0.088697,0.029073,0.103108,0.033680,0.070364,0.048011,0.064522,0.071095,0.022515,0.064697,0.032012,0.060657,0.033732,0.049950
PSCU,0.035611,0.045083,0.038699,0.032798,0.030424,0.029447,0.037035,0.029481,0.036159,0.021297,0.040726,0.052878,0.018572,0.055582,0.019019,0.039284,0.030621,0.035245,0.043535,0.019574,0.035659,0.022371,0.036488,0.021899,0.032695
RSPG,0.048312,0.060863,0.053432,0.030424,0.083334,0.040586,0.041039,0.050754,0.043894,0.023335,0.052207,0.075296,0.022585,0.055715,0.033358,0.061787,0.040700,0.037269,0.061392,0.022756,0.042234,0.026064,0.053085,0.021015,0.038665
RSPF,0.043522,0.050859,0.044888,0.029447,0.040586,0.044928,0.042868,0.028034,0.044024,0.024989,0.048595,0.075382,0.022394,0.053421,0.020718,0.046481,0.035647,0.041804,0.056810,0.023300,0.037530,0.026153,0.051234,0.025203,0.035285
MITK,0.052998,0.071941,0.057558,0.037035,0.041039,0.042868,0.149339,0.057037,0.041278,0.022573,0.100716,0.087550,0.024903,0.066901,0.026036,0.049521,0.035178,0.054686,0.073502,0.023221,0.061079,0.025590,0.049178,0.025617,0.044760
NXT,0.052184,0.071783,0.054418,0.029481,0.050754,0.028034,0.057037,0.366143,0.032933,0.008248,0.069005,0.068285,0.020924,0.046631,0.030351,0.052966,0.033998,0.032425,0.033937,0.001189,0.078044,0.010818,0.043567,0.012755,0.035385
PATK,0.060960,0.065577,0.061598,0.036159,0.043894,0.044024,0.041278,0.032933,0.116354,0.031460,0.053179,0.086875,0.031757,0.099873,0.032313,0.076883,0.040590,0.093055,0.062541,0.021591,0.060944,0.031459,0.060122,0.035878,0.048343
PECO,0.027561,0.028601,0.028885,0.021297,0.023335,0.024989,0.022573,0.008248,0.031460,0.038284,0.018451,0.044212,0.020577,0.047722,0.016024,0.027640,0.022266,0.033872,0.043056,0.020638,0.023508,0.026866,0.030901,0.023405,0.023928
PUBM,0.067640,0.093844,0.075121,0.040726,0.052207,0.048595,0.100716,0.069005,0.053179,0.018451,0.399903,0.102239,0.028121,0.105576,0.038314,0.089033,0.069063,0.051335,0.084527,0.020812,0.065186,0.026756,0.061516,0.028162,0.049969
