date,price
2025-01-02,221.14
2025-01-03,224.43
2025-01-06,224.52
2025-01-07,222.72
2025-01-08,221.71
2025-01-10,216.83
2025-01-13,217.25
2025-01-14,219.72
2025-01-15,224.04
2025-01-16,224.49
2025-01-17,225.46
2025-01-21,229.79
2025-01-22,228.29
2025-01-23,229.33
2025-01-24,228.69
2025-01-27,226.5
2025-01-28,226.75
2025-01-29,226.23
2025-01-30,228.53
2025-01-31,226.48
2025-02-03,223.83
2025-02-04,226.93
2025-02-05,229.4
2025-02-06,228.65
2025-02-07,226.0
2025-02-10,227.02
2025-02-11,225.7
2025-02-12,223.62
2025-02-13,226.14
2025-02-14,225.97
2025-02-18,227.21
2025-02-19,226.43
2025-02-20,224.26
2025-02-21,217.8
2025-02-24,216.23
2025-02-25,215.41
2025-02-26,215.68
2025-02-27,212.39
2025-02-28,214.65
2025-03-03,208.78
2025-03-04,206.42
2025-03-05,208.47
2025-03-06,205.28
2025-03-07,205.95
2025-03-10,200.77
2025-03-11,200.75
2025-03-12,201.1
2025-03-13,198.1
2025-03-14,202.89
2025-03-17,205.45
2025-03-18,203.21
2025-03-19,206.37
2025-03-20,205.06
2025-03-21,203.79
2025-03-24,208.86
2025-03-25,207.7
2025-03-26,205.59
2025-03-27,204.61
2025-03-28,200.45
2025-03-31,199.49
2025-04-01,199.51
2025-04-02,202.66
2025-04-03,189.65
2025-04-04,181.19
2025-04-07,179.55
2025-04-08,174.82
2025-04-09,189.68
2025-04-10,181.71
2025-04-11,184.36
2025-04-14,186.53
2025-04-15,186.76
2025-04-16,184.97
2025-04-17,186.48
2025-04-21,182.74
2025-04-22,187.47
2025-04-23,190.25
2025-04-24,194.06
2025-04-25,194.12
2025-04-28,194.94
2025-04-29,196.09
2025-04-30,194.86
2025-05-01,196.07
2025-05-02,200.48
2025-05-05,198.94
2025-05-06,196.77
2025-05-07,197.42
2025-05-08,201.18
2025-05-09,200.81
2025-05-12,207.87
2025-05-13,208.63
2025-05-14,206.78
2025-05-15,208.13
2025-05-16,209.85
2025-05-19,208.97
2025-05-20,209.08
2025-05-21,203.21
2025-05-22,203.2
2025-05-23,202.56
2025-05-27,207.7
2025-05-28,205.51
2025-05-29,206.12
2025-05-30,205.07
2025-06-02,205.71
2025-06-03,209.03
2025-06-04,208.44
2025-06-05,208.53
2025-06-06,211.9
2025-06-09,213.36
2025-06-10,214.51
2025-06-11,213.63
2025-06-12,212.78
2025-06-13,208.89
2025-06-16,210.77
2025-06-17,208.55
2025-06-18,209.65
2025-06-20,209.21
2025-06-23,211.77
2025-06-24,214.47
2025-06-25,211.97
2025-06-26,215.41
2025-06-27,215.48
2025-06-30,215.79
2025-07-01,218.01
2025-07-02,221.03
2025-07-03,223.08
2025-07-07,219.73
2025-07-08,221.25
2025-07-09,223.65
2025-07-10,224.8
2025-07-11,221.7
2025-07-14,223.19
2025-07-15,218.82
2025-07-16,221.02
2025-07-17,223.92
2025-07-18,222.33
2025-07-21,221.43
2025-07-22,223.27
2025-07-23,226.68
2025-07-24,223.55
2025-07-25,224.38
2025-07-28,224.12
2025-07-29,222.69
2025-07-30,221.56
2025-07-31,219.39
2025-08-01,214.92
2025-08-04,219.73
2025-08-05,220.85
2025-08-06,220.56
2025-08-07,219.84
2025-08-08,220.32
2025-08-11,220.27
2025-08-12,226.81
2025-08-13,231.22
2025-08-14,228.24
2025-08-15,227.13
2025-08-18,227.96
2025-08-19,226.21
2025-08-20,225.41
2025-08-21,225.97
2025-08-22,234.83
2025-08-25,232.36
2025-08-26,234.28
2025-08-27,235.94
2025-08-28,236.22
2025-08-29,235.17
2025-09-02,233.9
2025-09-03,233.67
2025-09-04,236.59
2025-09-05,237.77
2025-09-08,238.25
2025-09-09,236.85
2025-09-10,236.43
2025-09-11,240.8
2025-09-12,238.34
2025-09-15,239.35
2025-09-16,238.28
2025-09-17,238.89
2025-09-18,244.84
2025-09-19,242.98
2025-09-22,244.39
2025-09-23,243.84
2025-09-24,241.6
2025-09-25,239.29
